北中心测试环境有几套，都是什么环境？	八套环境
【测试平台】如何提交测试需求申请	上tims测试平台上提交吧
如何编制QTP脚本？	没毛病
现在行内安控软件有哪些？	Tms &nbsp;dsm &nbsp;dlp &nbsp;sep &nbsp;ad &nbsp;trend防病毒等
希望我的问题仅限于中心内部员工看到，是否可行？	可以通过设置专用隐藏标签解决这个问题
发布问题必须选个标签不太方便，且标签太多，能否缺省？	孔总，这个问题我也发现，提问很不方便，今晚发补丁解决。需要明天重新安装一下。自动升级后续开发。
问题提问者最好能修改问题？	如果没有人答复时问题提出者可以修改，一旦有了答复了再把问题修改了，会不会出现答非所问。
能否指定提问人员？	目前只能选标签，对应的标签后面有专家团队答复问题。
点击“关注”同事按钮，提示信息不正确	APP自身问题，需支持三部修改
测试一下	好像是因为我打的字太多了？
“发现”是按什么推送给我的呢？	关注标签下关注度最高的问题。
测试怎样才做得好	按在图上滑不动，按在其他文字区域可以滑动
紧急求助，连锁店每天自动收钱	&#21487;&#20351;&#29992;&#25105;&#34892;&#30340;&#36164;&#37329;&#27744;&#20135;&#21697;
问题标题就是问题	高总，目前app设计是将问题标题和描述分离，一方面为了输入标题可以快速检索问题，另外在一屏展现的内容太多视觉上也会比较乱，而且问题描述不是必输项，标题中描述清楚问题，描述直接点击下一步跳过就可以了。
提的问题被回答或被关注，可否提醒提问者？	孔总，提的问题被回答是有提醒的，在消息里面可以收到提醒，被关注没有提醒，因为担心问题被太多人关注对提问者造成困扰。
新版上了	现在提问如不选标签，可以直接发布了。
分行每天的业务支持咨询问题，分行用户怎么提交上来？目前问题都在微信群组中	先在中心内体验优化完功能后就向分行推广这个APP &nbsp;，他们可以就可以提问了。
分行通过邮箱提交的业务求助问题怎么转到这里	邮箱的问题还是邮箱回答吧。APP也是多了一个问问题的渠道。分行有些员工没电脑或邮箱。
人员名单需要更新	感谢体验和支持北数i服务，目前我们的用户数据更新的需要进一步完善，后续我们会尽快比对目前中心人员名单进行更新，感谢支持！
如何下载新版本，还是扫原来的二维码？	孔总，直接扫原来的二维码安装即可。后续会加上版本更新提示的功能。
大家提的还有什么功能问题要解决吗，是否具备分行试用条件了？	鎬庝箞鍒犻棶棰橉煒?
负责回答问题的专家们使用上有什么建议吗，能确保答复的权威性和及时性吗？	看来加上通知消息推送太有必要了。
试试，看看有什么用。	看评论有些麻烦
这个app只能行内用户使用吗？	是的 通过统一认证号来登陆的
这个app可以建立常用联系人或朋友圈吗，这样便于针对某一方面问题集中交流	我的问题在我手机上为什么显示不全？
明天参加灾备的 内部沟通就用这个了，我有问题参加人员得回复我。	那您提问后得到微信群里面通知一下。
个人感觉得加上答复通知？	在消息菜单上有答复时加上红点提醒
在问题的答案内进行评论，再查看评论还要进入评论点右下角评论图标才能看到	这个确实有优化的空间，可以在答案详情页直接展现评论内容
首页上能显示提问人的头像或名字	任总，已加入体验问题清单，迭代版本优化。
灾备人员微信群建了吗？请测试管理部回答（如何指定刘卫果回答？）	孔总，目前app还不支持邀请专人回答问题，我先人工通知刘总一下，现在看来提醒功能需求很急迫，我们会尽快跟进解决。
9月22日灾备演练问题，统一归集到“灾备演练”标签下！！！	专题性的工作通过标签进行汇集，可定向推送到用户群。
专家们是否能及时回复问题，决定着此APP能否得到分行认可，能不能一炮走红。	严重赞成！初期我们准备专人去跟踪并监控问题解决时效。
专家如果快速回答问题	高总，领域专家在消息模块中可以看到待回答的问题列表，问题通过标签匹配到专家对应的领域，专家用户直接在列表中处理问题就可以。
MMTA新增机构无法选到	需要确认BOM是否已经维护了这个机构，MMTA以其下传内容问题为准。
e办公闪退啥意思，我昨天装了ios11的原因？	孔总，老版本E办公和E安全不兼容IOS11,需升级到最新版本。Ios11发布前已经报风险，开发采取的措施是通过E安全推送提醒。
哪位专家给讲讲API吧	API（Application Programming Interface）即应用程序接口。可以认为 API 是一个软件组件或是一个 Web 服务与外界进行的交互的接口。也可以说API 是一套协议，规
建议直接在主页问题下即可点赞和评论	您好，目前首页为了提高阅读效率，答案最多显示为三行，偏向于引导用户点开答案、看全后才进行点赞和评论。后续版本迭代中，会综合考虑如此的社交需求。谢谢您的建议。
为啥“我的”标签没有我的评论	已关注的小星星为啥是灰色？不是亮黄色
通过融e联能咨询银行业务问题么	可以通过客户服务公众号咨询，包括智能服务和人工服务
境外聯名帳戶，可否支持開通e支付？	支持。
分行提出问题较为复杂涉及多个专业领域	提问时支持选择多个标签，不同领域的专家们都可以收到问题，可以直接在问题下面交流，app暂时未提供即时通讯功能，所有交流信息都在答案展现。
是不是可以让陈辉、欧华杰先试用？	好的，孔总，周一就安排。
地方财政自助柜面系统，财政端导入电子凭证后，网银查不出来？	收款人账号、收款人名称、收款银行三个字段均不能为空。
我也提求	您的问题可按照标签进行跟踪反馈
不能自动升级新版本	强制更新功能正在开发中
提问题的顺序有点不合适	先分类容易给用户带来流程长、不直接的感觉。偏向于用户想提问题，进来直接就可描述。
